%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_EP_1       obj_fn_1       obj_fn_2       obj_fn_3 
16           NO_ID    1.927608354    1.988439351    1.911168959    2.241708868    1.998733745    1.903113211    2.071084131     2.27933134    6.554314359            100            100            100 
17           NO_ID    1.927798039    2.037058841    1.989172391    2.257974861    2.103998126    2.101212351     2.01986798    2.126082636   0.9996089027            100            100            100 
18           NO_ID    1.928470754    2.010234243     1.86875768    2.103129759    1.959586129     2.25038636    2.187456873    2.182908721    1.185117726            100            100            100 
19           NO_ID    1.928881213    1.945833328    2.092071327    2.154703633    2.296988838    2.043767396    2.151976236    2.161345165   0.4592863566            100            100            100 
20           NO_ID    1.929063496    1.818641944    1.851412068    2.185780776    1.921237688    2.024650207    1.992981644     2.15795497    4.054754859            100            100            100 
21           NO_ID    1.930275015      1.9585897    2.018152553    2.196065117    2.204384942    2.010320416    2.259185729    2.283295715    11.74292914            100            100            100 
22           NO_ID    1.934790704    1.832308374    1.906493505    2.068802066    2.296599402    2.252791407    2.206873777    1.928860583    4.838741029            100            100            100 
23           NO_ID    1.935067474    2.080603599    1.909322774    2.162099937    2.156015851    2.220698941    2.044789913    2.056194936    8.566610499            100            100            100 
24           NO_ID    1.943669344    1.804842168    1.987624961    1.909058165    2.247408036    1.921837859    2.015010031    2.283740012    11.32752869            100            100            100 
25           NO_ID    1.944691196    2.011448373    1.886346911    2.251960838    1.995603942    1.953156145    2.123334729    2.050523537    6.393676057            100            100            100 
26           NO_ID    1.945221449    2.070443873    2.083770217    1.978541745    1.955598011     2.09359926     2.20987161    2.198756689  0.05748163911            100            100            100 
27           NO_ID     1.94680003    1.979099416    1.991951938    2.165413365    2.285802414    2.166316366    1.917395666    2.243845584    8.272773367            100            100            100 
28           NO_ID    1.949385309    1.903263526    1.842441955     2.18140758    2.004054816    2.167468511    2.042290434    2.131716299    4.024945162            100            100            100 
29           NO_ID    1.950738955    1.981091961    1.813825131    1.998588273    2.218562262     2.04517354    2.185221155    2.134971449    11.52885956            100            100            100 
30           NO_ID     1.95581709    2.009964121    1.990400473    2.266210659    2.241941159     2.27824044    2.103942678    1.930054372    9.990714601            100            100            100 
31           NO_ID    1.957156596    1.840748301    2.058717399    2.192652207    2.146127505    2.253617814    2.223552463    2.213586297    5.785484145            100            100            100 
32           NO_ID    1.957318338    1.974352173    1.944167371    2.224459273    2.072265706     2.19625483    2.111654798    1.931496849    11.94138003            100            100            100 
33           NO_ID    1.957385935    1.930634199    1.959421382    2.249541208    2.179920162    2.066008891    2.051389661    2.252611351    8.015852243            100            100            100 
34           NO_ID    1.961660211    2.071515493    1.993761044    1.942526619    2.114061288    2.188756497    1.999238183    1.966352104    11.74557132            100            100            100 
35           NO_ID    1.961988997    1.893279856    1.978299014    1.988113214    2.254783381    2.007925577    2.251300933    1.936514042    8.344557701            100            100            100 
36           NO_ID    1.962132091    2.084333659    1.996492025     2.01093698    2.207649549    2.216091719    2.071883679    2.216650024    2.169847923            100            100            100 
37           NO_ID    1.965763237    1.989363952     1.89119988    2.222660867    1.936344232    1.993615872    2.234387401    2.225250741    1.359566829            100            100            100 
38           NO_ID    1.965827867    2.032290088    2.080146603    2.243614639    1.996716831    1.949839405    2.163301836    2.040563045    2.861404947            100            100            100 
39           NO_ID     1.96612797    2.005959445    1.865524168    2.238626116    2.240375831    2.239850827    1.960225956    2.163036698    11.28585176            100            100            100 
40           NO_ID    1.967123804    1.984242453    1.996134116    2.279613999    2.057235292    2.222090794    2.096133928     2.20379145    4.675848866            100            100            100 
41           NO_ID    1.967222845    1.815645799    2.028594888    2.102381341    1.967661096    2.043592405    1.958317257    2.233074461    3.881844578            100            100            100 
42           NO_ID    1.967277947    2.086433005     2.07998224    2.171207517    2.181639232    2.060698971    2.096645187    2.225076947    6.276903416            100            100            100 
43           NO_ID    1.970175131     1.92492559    2.067915387    2.041110342    2.295098307    2.024352799     2.15177003    2.084618709    1.931429152            100            100            100 
44           NO_ID    1.970576773    1.850912816    1.989139508    2.290404478    2.076554445    2.189682453    2.116684678    2.230424637    2.995280666            100            100            100 
45           NO_ID    1.972354109    1.893358659    2.001493241    2.132395192    1.960844769    2.286886644    1.920410827     2.03000393    10.58875607            100            100            100 
46           NO_ID    1.972624055    2.093246907    1.949966377    2.184274534    2.223424166    2.115153217    1.973672175    2.023314413    2.356753552            100            100            100 
47           NO_ID    1.974145599    1.854581417    1.800562862    1.975328354        2.12766    2.053261739    2.025417802    1.915434751    9.790032281            100            100            100 
48           NO_ID    1.976762626    1.820882107    1.834854207    2.059673346    2.170662845    2.116644685    2.154750165    1.948444144    7.973703049            100            100            100 
49           NO_ID    1.977106315    1.895055023    1.939974661    2.216409187    2.139121779    2.198561445    2.165712794    2.131301783    8.755223571            100            100            100 
50           NO_ID    1.978815972    1.949899165    1.816728729     2.17335351    2.019470531    2.206885702    1.918242273     2.20969318    11.00849879            100            100            100 
51           NO_ID    1.980463969    1.888114067     2.06714616    2.189694083    2.259319914    1.947159412    1.969121652    2.117010118     10.8479458            100            100            100 
52           NO_ID    1.983807947    1.933605906    1.868427754     2.06645627    2.038268673    2.198044858    2.238197941    2.097633001    6.636098231            100            100            100 
53           NO_ID    1.989249342    2.055692219    1.986597723    2.278419553    2.070180822    2.161832114    2.279164154    1.944204037    9.117922793            100            100            100 
54           NO_ID      1.9904259    1.919840065     1.96281537    2.211517025    2.064054695    1.914571325    2.030938927    1.958263637    8.076362571            100            100            100 
55           NO_ID    1.992932008    1.964587758    1.847340459    1.978910773    2.181110556     1.92514127    2.237258833    2.223637175    7.176076751            100            100            100 
56           NO_ID    1.994192148     1.81366426    1.851415489       1.967717    2.203162905    2.035796144     2.25364575    2.095404645    8.269870702            100            100            100 
57           NO_ID    1.994207287    2.014266949    2.076165302    2.272336625    2.060649414    2.220081028     2.15862253    2.071450184    1.854357793            100            100            100 
58           NO_ID     1.99500618    1.961429228    1.973497398    2.143158678    2.108316795      2.0080716    1.957118516    2.054034027    4.731940585            100            100            100 
59           NO_ID    1.997844016    1.860841446    2.067441261    2.139674261    2.125389831    2.277898425    2.103642364    2.270275678    2.974745584            100            100            100 
60           NO_ID    1.999949685    2.097851409    1.886971321    1.941746891    1.940804555    2.022417985    2.191913506    1.949862719    2.094780616            100            100            100 
61           NO_ID    1.999988483    2.036023589    1.990055103    2.129383303    2.139331742     2.10387693    2.202623706    1.939724478    10.82968647            100            100            100 
62           NO_ID    2.002134194    1.900731192    1.853154421    1.942164738    2.151694115    2.223632633    2.190386008    2.166985973    10.40450488            100            100            100 
63           NO_ID    2.004548198    2.031260705    2.084262918    2.281905267    2.265733541    2.053196156     2.09446711    2.215274749    0.993489549            100            100            100 
64           NO_ID     2.00574123    2.065085286     1.95138634    1.972691189    2.001186184     2.09839645    2.006914402    2.222677479    10.13379306            100            100            100 
65           NO_ID    2.007835116    2.066676424    2.079028856    1.960793651    2.158456203    2.282261648    1.971913467    2.205770726    2.487321615            100            100            100 
66           NO_ID    2.007901734    1.810290143    2.045695438    2.209695797    2.200222208    2.132487725    2.148568107    2.278334934    9.851700223            100            100            100 
67           NO_ID     2.00867069    1.828122331     1.96971015    2.053870191    2.110160236    2.177522609    2.255264628    2.168377714     8.34388013            100            100            100 
68           NO_ID    2.008868736    2.034843934    1.952797245    2.211120264    2.162987437    2.131886421     1.93545038    2.149101695    7.706928909            100            100            100 
69           NO_ID    2.010803562     2.08727647    2.079614391    2.076550554    1.961851265    2.072684742    2.098855527    2.235204774    8.764658202            100            100            100 
70           NO_ID    2.011574077    2.080475517    1.830014525    2.015267896    1.978515555    2.248366973     1.99428512    1.960420822    9.423015413            100            100            100 
71           NO_ID    2.012181088    1.815326386    2.037725796    1.921617403    2.152518625    1.917380418     2.11396244    2.024105993     4.57751439            100            100            100 
72           NO_ID    2.012381748    1.883946423    2.061977705    2.292180004    2.293279341    2.202799576    2.103225987    2.159158079    11.23298487            100            100            100 
73           NO_ID    2.013184463    1.922508325    2.031094553     2.10098892    2.090952787    2.059378539    2.249214199    2.032661655    7.743368512            100            100            100 
74           NO_ID    2.016350564    1.973706364    1.864560984    2.173252389    1.987504757     2.15235792    2.021496705    1.982503873    6.623598126            100            100            100 
75           NO_ID     2.01720319    2.080433201    2.043892719    2.190115216    2.127493393    2.112268994    1.918553405    2.056404961    7.686725639            100            100            100 
76           NO_ID    2.017385859    1.989570054    1.986165952    1.915291858    1.923184196    2.231927533    1.966539761    2.037117546    8.778003717            100            100            100 
77           NO_ID    2.018137285    1.936153394    2.099607197    2.233155166    2.271678817     1.97465052    1.911209745    2.038014833     9.10999815            100            100            100 
78           NO_ID    2.018177432    1.816523979    1.934500421    1.968574016    1.944881035    2.009459269    2.003895561    1.984103051    4.534761649            100            100            100 
79           NO_ID    2.021427248    1.988549269    1.965718895    2.100544408    2.009946074    1.965499766    1.930185105    2.081615659    3.391950993            100            100            100 
80           NO_ID    2.021941567    1.906560244    2.052704092    2.147113179    2.047138936    2.119670106    2.049896433    2.174788261    5.296410645            100            100            100 
81           NO_ID     2.02545491    1.802391052    1.956564218    2.228673387    2.184849616    2.266375362    2.047326615    1.992845573    11.20574556 0.008108838114   0.0116147682 0.008162878762 
82           NO_ID    2.025613745     1.88667022     1.90575872    2.268039672    2.045835308     2.25246456    2.158909743    1.941900425    7.705485059  0.01035461786  0.01253776616 0.009629229253 
83           NO_ID    2.030198295    2.074332008    2.035435971    2.246982844    2.160860671    2.021335662    2.096217287    2.000442443    4.012271412            100            100            100 
84           NO_ID    2.030698834    2.086772147     1.97680939    1.975133439    2.166534959    2.011475102       2.273145    2.010000735    8.393947674            100            100            100 
85           NO_ID    2.042517474    1.962573076    1.865753045    2.219064495    2.242219011    1.990858796    2.027816786    2.170892398    11.27125239            100            100            100 
86           NO_ID    2.042848655     2.09179551    1.966205427    2.136724875    2.093500655    2.151986128    2.131299507    1.932449895    10.33491335            100            100            100 
87           NO_ID    2.044267904    1.815982558    2.072976077    2.044885846    2.021259762    2.261103314    2.160847607    2.063006653  0.05723606611            100            100            100 
88           NO_ID    2.045440718    1.962640738    1.940617277    2.239405853    2.273390566    2.254409898    1.954211224    2.061044747    6.053821891 0.008591140154  0.01327218638  0.01066048964 
89           NO_ID    2.047003193    1.807785337    1.913986725     2.25804317    1.909442746    2.089246826    2.153186197    2.059663765    10.19087447  0.01054462312  0.01189125775 0.008308479863 
90           NO_ID    2.047739136    2.097410998     1.82566741    2.121491296    2.039396652    1.923283893    1.943098532    2.276121527    6.503536449            100            100            100 
91           NO_ID    2.048907421    1.890365502    1.983265604    2.013238731    2.231765409    2.020253311    2.101676035    2.195627295    1.366133782  0.01013529403 0.001465808795 0.002767882914 
92           NO_ID    2.050578651    2.094050267    1.910790932    2.065888196    2.115226797    2.098613026    2.242855107    2.137063503    7.539612699            100            100            100 
93           NO_ID    2.053841828    1.948068074     2.02608435    2.099160723    1.988488216    2.061856621    2.041430569    2.264987176    5.454669096  0.01216765103  0.01361664353  0.01096218934 
94           NO_ID    2.054884778    1.914383442    1.837567086    2.087774751    2.073072671    2.024108618    2.203529298    2.140066221    1.671839666  0.01089963464 0.0006245988063 0.001915150723 
95           NO_ID    2.056536248    1.925190147    1.886104028    2.087654182    2.147384165    2.132290794    2.043849061    2.037078247    5.748321234   0.0107952489  0.01350174763  0.01073104474 
96           NO_ID    2.056876492     1.99416435    1.999642545    2.004441522    1.979330434    2.175475145     2.21948704    2.085531588     9.59483114  0.01278286325  0.01204249746 0.008648210912 
97           NO_ID     2.05955486    2.050076914    1.935486931    2.022218313    2.167965678     2.21406158    2.182514766    1.923698744    11.67066048  0.01471457973 0.006236957931 0.007685979542 
98           NO_ID    2.061455657    2.024195177    2.069213905    2.217583602     2.26475477     2.16867199    2.191112406    2.208369409    10.96166463            100            100            100 
99           NO_ID    2.064745678    1.973342463    1.996623629    2.066653547    2.114388876    2.217084997    2.118424135    2.167480488    8.572695626  0.01272010054  0.01232781771 0.009023253815 
100          NO_ID    2.067488903    2.099359931    1.807152063    2.110710198    1.910884469    2.202642469     2.02482389    2.298330776     8.69823001            100            100            100 
101          NO_ID    2.068512369    1.825895827    1.913249148    2.042945198      2.1303376    2.175511944    2.022166446     2.29041009    10.20091633 0.007048783329  0.01187151938 0.008221925903 
102          NO_ID    2.070424124    1.862779697    1.838435928     2.01393335    2.260672591    2.284199194    2.004338401    2.025833385    1.435479535 0.006525124269 0.0009444617289 0.002291112599 
103          NO_ID    2.072663795    1.838431807    1.951045828    1.958217478    1.900606729    2.219695521    1.983482912    1.908156568    4.075218622 0.007470707655 0.006052792633 0.004879603332 
104          NO_ID     2.07289589    2.006655068    1.998330356    2.051873512    2.264789433    2.105363433    1.900670476    2.243208986    11.26632766  0.00765152107 0.006130701301 0.007633550255 
105          NO_ID    2.072918018     2.04610368    1.868533128    2.176929928    1.940319328    2.011812685    2.093897655    1.961936732    10.92993931  0.01521722718  0.01159904996 0.008461542942 
106          NO_ID    2.073192195    1.879142682    2.078763272    2.089701431    1.928353079    2.204608542     2.20665311    1.984924962   0.4911885618            100            100            100 
107          NO_ID    2.075483528    2.088456075    2.022474126    1.907208996    2.244255296    1.955993838    2.221787427    2.047855077    2.816286588            100            100            100 
108          NO_ID    2.078840232    1.865976967    1.974352883    2.211882004    2.098772851    2.115505804    2.184701192    2.275323405    8.320712069 0.009361174421  0.01235432629 0.008998474807 
109          NO_ID    2.079273805    1.994032089    1.863245335    2.123322592    1.989117565    2.047333832    2.060169111    2.002487415    4.020340854            100            100            100 
110          NO_ID    2.081596172    1.860374059    2.024672986     2.16432415    1.913625643    1.925666458    2.181124589    2.251413708    4.403037515            100            100            100 
111          NO_ID      2.0837826    1.875513182    1.961697826    1.975623385    2.169196612    2.150124871     2.12662225     1.91214181    2.413874132 0.009481223593 0.003417012725 0.002092087626 
112          NO_ID    2.083858963    2.079012024    1.808794901    2.188906509    2.251703022    2.256676715    2.235160081    2.196950952    11.56304531  0.01618543413 0.005962020444 0.007297270553 
113          NO_ID    2.084075186    1.818415858    1.876186541     1.99026169    1.969245673    2.283513218    2.105390904     1.92120651    2.373514787 0.009980057775 0.003188577437 0.002105795295 
114          NO_ID    2.086996713    1.857232951    2.039765398    1.943846215     1.94554076    2.220773351    2.183991432    1.906201889    9.185595116  0.01054886642 0.006866897956 0.008328587077 
115          NO_ID    2.089870273    2.079221066    1.943744986    2.021647467    2.214331366    1.951121707    1.923700337    2.255526164    2.259873296            100            100            100 
116          NO_ID      2.0899195    2.041413323    1.846445298    2.074857009    2.153611113    2.035737868    2.241410177    2.198402828    4.254907353  0.01449598499  0.01446258793  0.01229099742 
117          NO_ID    2.090140958    1.856380693    1.858540934    2.066336016    2.129016085    2.175478678    1.967781816    1.928176808    10.91900682 0.005205773862  0.01127910676  0.00781104097 
118          NO_ID    2.091008474    1.954649924    1.806465619    2.052606667    2.163518237     2.14109039    2.244829828     2.08797751   0.4006828612  0.01153817676 0.003442595007 0.002286568947 
119          NO_ID    2.091796436    1.806495961    1.823175192    1.967458793    2.139231658    2.218501811    2.267261897    2.170150827    3.403604783 0.007492206557  0.01478231706  0.01226020766 
120          NO_ID    2.092783287    1.853134073    1.825100079    2.285632759    2.212899703    2.214314966    1.948633057    2.168407469    4.801232459 0.005083716739  0.01401294042  0.01136059745 
121          NO_ID     2.09580983     1.89338481    2.084415936     2.06007249      1.9645186    2.295219412    2.162349983    2.208190725    8.937179987  0.01204671958  0.01216215658 0.008548165512 
122          NO_ID    2.099216594    1.943346572    1.863240775       2.281634    2.240036184    2.104808369    2.125988139    1.953274916    4.097213345  0.01105353155 0.009745870104   0.0109087496 
123          NO_ID    2.102152076    2.084311055    2.019928963    2.160878943      2.1792005    1.933172336    2.148768193    2.240125005    8.609588076            100            100            100 
124          NO_ID    2.102544401     1.91575422    2.097954453    2.164356327     2.17154215    2.271183539    2.089546619    2.061657366    5.960307953 0.009846656897   0.0131491864  0.01019235601 
125          NO_ID    2.103024027    1.854341828    1.937264486    2.217485233    2.281667439    2.206766758    2.233876403    1.975187965    4.683838351 0.008284622493  0.01351728267  0.01079788652 
126          NO_ID    2.104439975    1.822784169    2.095930975     2.13894924    1.992510983    2.273686178    2.000938607    2.103447963    8.440071807 0.007827515112  0.01234648158 0.008871831166 
127          NO_ID    2.104985685    1.900041376    1.910958806    1.986321412    2.050418827    2.023276716    2.184307162    2.139777416    1.972409758            100            100            100 
128          NO_ID    2.106642492    1.947773836    1.826567158    2.046338307    2.008705438     2.15343373    1.937472032    2.169819342    8.675106306 0.007795724573  0.01211979185 0.008737561295 
129          NO_ID    2.111278073    2.006924379    1.866327978    2.263861886    2.225284482    2.126122005     1.92045116    2.106692062    9.905304628 0.006856057392 0.006612709536 0.008034417966 
130          NO_ID    2.113672778    2.053520198    2.003530419    1.954919596     2.05996639    2.279689297    2.221932234     2.26989678    3.433836195            100            100            100 
131          NO_ID    2.114400282    1.971879389    1.934612806    2.214242971    2.223379805    1.965173006    2.182463373    2.195716429    6.774672588            100            100            100 
132          NO_ID    2.117725627    2.025489081    2.086576427    1.975837911    2.152979518    2.185847689    2.213281534    1.923784073     7.70151839   0.0136805637  0.01219918173 0.008817709472 
133          NO_ID     2.11803047    1.925562776    1.822031907    2.000709422    2.036298016     1.94979462    2.195163579    2.178159768  0.03548263015            100            100            100 
134          NO_ID    2.120444634    1.806963814    1.961284138    2.006201155    1.944352559     2.08918365    2.151964853    2.206452496     1.35598504  0.00952787594 0.001588370322 0.002887210116 
135          NO_ID    2.121939459    1.881236554    2.000259478     2.10993039    2.034771909    2.287279435    2.053850663    2.201929964    5.529265732 0.009172890615  0.01342129354  0.01061614399 
136          NO_ID    2.122313541    2.050144301    1.862950782    2.014913664     2.28426469    2.225390323    2.033347173    1.982852963    7.318577548 0.009617185439  0.01250428358 0.009009922468 
137          NO_ID    2.123159775    1.838168838    1.932725183    1.921836706    1.952707397    2.257177682    2.276918599    2.210747198    4.297975438            100            100            100 
138          NO_ID    2.123474249    1.956576838    1.918326932    2.216186187    2.178944248    2.224336695    2.173406702     1.92005459    9.583050056  0.01058638945   0.0115293862 0.008024521332 
139          NO_ID    2.126015329    1.817156518    2.029165997    2.117534373    2.203303316    1.992855239    2.044211155    1.925765819    11.63972792 0.005277149101  0.01116393915 0.008393665759 
140          NO_ID    2.128530854    1.925349212    1.882994767    2.089520403    2.240028173     2.28619978    1.953960877    1.991901685    10.52967638 0.004869153747  0.01137465951 0.007636026493 
141          NO_ID    2.129257864    1.809776362    1.800558451    2.174023215    1.942098646    1.925600526    2.242572638    2.227879421    1.405146423            100            100            100 
142          NO_ID    2.129638437    1.927205532    2.046715552     1.91146074    2.086743677    2.251089447    2.235467038    2.247551386    10.33303817   0.0112505332  0.00618801854  0.00767940535 
143          NO_ID    2.130408113    1.847255039    2.052634889     1.91336985     2.28667753    2.093352459    2.008312653    1.904060348    2.362188344 0.004902872751 0.002870258343 0.001750106963 
144          NO_ID    2.130410238    2.002645168    1.997390789    1.981730662    2.070226347    1.977169821    2.143798282    2.113524984    5.239770147            100            100            100 
145          NO_ID    2.130570376    2.015701166    2.024852328    1.930919169    2.094951682    2.297616026    2.254582374    2.080860261    6.521115451  0.01399189644  0.01274771049 0.009623538689 
146          NO_ID    2.132083444    1.875309518    1.944258778    2.171587368    2.035203395    2.135422869    1.913578708    2.204005461    6.960668131 0.006623760054  0.01254953014 0.009474003885 
147          NO_ID     2.13796981     1.97893469    1.917211993    2.088959023    1.997903896    2.148854818    1.983157221    2.232772461    6.117887084 0.008545834998  0.01312716934  0.01005671392 
148          NO_ID    2.141084658    2.099724231    1.833639709    2.139130659    2.270307252    1.939634649    1.901108302     2.10979677    10.21003512            100            100            100 
149          NO_ID    2.141834491    1.868223399    1.934570677    2.157690204    2.214438781    2.288196687    1.915459446    2.130624968    8.014228053  0.00361445525  0.01204873453 0.009022476223 
150          NO_ID    2.142054273    2.010636145    1.847250224    2.255507766    2.145726116    2.187733499     2.14982152    1.927974554    3.983778154            100            100            100 
151          NO_ID    2.142820036    1.927629307    1.871307614      2.0777813    1.949145417    2.138181844      2.0710062    2.097330511    11.57936297  0.01066384762  0.00552897836 0.006928907877 
152          NO_ID    2.145516374    1.891240532    1.817694308     1.94526839    2.143081291    2.174991435    2.166226916    1.943625699    11.54812528            100            100            100 
153          NO_ID    2.147481277    1.991165949    1.972031447    2.180597595    2.115363934    2.196039673    2.166325265     1.94303501    9.374705839            100            100            100 
154          NO_ID    2.147842903     1.87084588    1.958295061    1.992089389    2.161950077    2.110206657    2.001625473    1.972660274    6.632733769 0.004330836119  0.01128312483  0.00956104228 
155          NO_ID    2.148207186    1.994153813    1.964156749    2.294975103    1.976902221    2.286292699    1.924350979    2.077611643    3.677721448  0.00900127866  0.01301828614  0.01176491235 
156          NO_ID    2.149526419    2.039223037    1.924800472    2.205254408    2.169680573    1.998227469    1.978591977     2.09265732    6.349514391 0.006150568518  0.01339972521  0.01096944133 
157          NO_ID    2.150914777    2.051352594    2.037679012     2.07124712    1.935125275    2.131603469    1.924653923    2.164508578    2.128056324  0.00717495773   0.0023391481 0.001225535494 
158          NO_ID     2.15204063    1.822806328    1.842533673    2.152290817    2.002762547    2.081189776    2.020948472    2.235157739    7.261036342 0.007284879806  0.01310187112  0.00988091561 
159          NO_ID    2.153582458    2.015309027    1.896328642    2.228911568    1.943955194    2.287323989    2.095101628    2.048396716    1.999632687  0.01354578892 0.003383688653 0.002046253323 
160          NO_ID    2.155896272    1.924707456    1.986183237    2.294999116    2.268428685    2.127325723    2.188237733    2.129307628    3.195786697            100            100            100 
161          NO_ID    2.157600201     2.04857451    1.818575302    2.085990209    2.225072996    1.989835553    2.262889165    2.227303758    2.481839347            100            100            100 
162          NO_ID     2.15854705     1.98340593    1.972230523    1.971669585    1.947565267    2.202096468      2.1546889      2.2650505    8.512917223            100            100            100 
163          NO_ID     2.15932431    1.869429121    2.020648649    2.134868565    2.255074752    2.116571337    2.154616857    2.021508102    4.311274707            100            100            100 
164          NO_ID    2.161141825    1.889813724    1.891837403    2.221666313     2.27066641    1.957586663    2.138571662     2.04191353    2.781358135            100            100            100 
165          NO_ID    2.162502591    2.041779855    1.814811219     2.06643335     2.22713782    1.906524967    2.298243531    2.278740714    1.815734648            100            100            100 
166          NO_ID    2.174960149    2.063895469    2.014714429     1.91080077    2.041730899     2.15858066    2.102460751    2.163378365    5.187360783  0.01268562836  0.01357538624  0.01081566511 
167          NO_ID    2.176966328    2.049713468    2.092803788    2.065160794    1.963650124    2.272767914    1.900906646    2.038783564    7.179086167 0.006876896103  0.01235674496 0.009080467168 
168          NO_ID    2.178520713    2.076055588    1.859193025    2.162816031    2.051856717    2.079608276    1.978413132    2.127480102    1.464146656 0.009306548178 0.0004429086137 0.001725910875 
169          NO_ID    2.178973008    1.907328769    2.094918676    2.048185094    2.047796922    2.190654011    2.064690147    2.172369294    11.42599224 0.007577745683 0.005248250483 0.006743385504 
170          NO_ID    2.180427959    1.940475432    2.045007587    2.022462503    2.195135692    2.182245348    1.994500978    2.255929343     4.22104652 0.004042189171  0.01411619379  0.01171033948 
171          NO_ID    2.181350777    2.065121977    1.958284488    2.165878738    1.971633253    2.292583843    2.165355001    1.904788419    10.92787979            100            100            100 
172          NO_ID    2.181661547    1.918217303    1.963989921    2.107995956     1.90714949    2.037617276    2.274396586    2.212403899   0.2189354786            100            100            100 
173          NO_ID    2.181877719    1.931201432    2.012017482    2.200179084    2.264854742    2.104574407    2.262106148    2.039711751    1.745565579            100            100            100 
174          NO_ID    2.183125449     1.95993381    2.075303869    2.265901622    2.073014299    1.903921489    1.978732168    1.965807339    10.57918224            100            100            100 
175          NO_ID    2.183507081    1.930055926    1.801414374    2.112178925    2.008573265    2.085223644     2.05333861    2.192797732     5.48885214 0.008721904618   0.0140228024  0.01089350338 
176          NO_ID    2.184172096    2.006796937    2.023508671    2.143465776    2.068323154    2.208205777    2.143495234    2.231247728    11.53583885  0.01243571363 0.005110341233 0.006591671778 
177          NO_ID    2.184943891    1.850431619    2.014446563    2.192241741    2.039866213    2.176924626     1.99219691    1.924140747     6.01046377 0.006386629594  0.01261989788  0.00977053904 
178          NO_ID    2.186502018    2.028670356    2.054154233    1.978112725    1.995902282    2.045072209    1.986733551    2.148508949   0.2577133757 0.006850758789 0.003534990108 0.002371954439 
179          NO_ID    2.186688423    1.954347486     2.04888256    2.150655317    1.935435085    2.001450789    2.079609387    1.946895825     8.64583399  0.01084646725  0.01236467612 0.009383368603 
180          NO_ID    2.187919671    2.061736872     1.92141984     1.92208451    2.132107945      2.2751382    2.289156335    2.098009568    4.444574958            100            100            100 
181          NO_ID    2.191064117    1.995308116    2.056702385     2.17649896    1.919965682    2.175705732    1.957148201    2.042183995    4.310142279 0.008841646102   0.0136452579  0.01111633149 
182          NO_ID    2.192593905    1.807645662    1.800022093    2.062924574    1.976322185    2.174642051    2.150290131    1.914948301     6.45053644            100            100            100 
183          NO_ID     2.19508466    1.955565775    1.986925832    2.139581772    1.912406719    2.282622945    2.287526846    1.998728131    3.991253164            100            100            100 
184          NO_ID    2.199728558    1.940541988    2.044078253    1.943437715    1.948531142    1.945189303    2.065887586    2.270197455   0.4756713903            100            100            100 
