%eval_id interface  DAKOTA_K_RC_1  DAKOTA_K_RC_2  DAKOTA_K_RC_3  DAKOTA_K_RC_4  DAKOTA_K_RC_5  DAKOTA_K_RC_6  DAKOTA_K_RC_7  DAKOTA_K_RC_8  DAKOTA_K_EP_1 DAKOTA_Cl_RC_1 DAKOTA_Cl_RC_2 DAKOTA_Cl_RC_3 DAKOTA_Cl_RC_4 DAKOTA_Cl_RC_5 DAKOTA_Cl_RC_6 DAKOTA_Cl_RC_7 DAKOTA_Cl_EP_1 DAKOTA_Cl_EP_2 DAKOTA_Mg_RC_1 DAKOTA_Mg_RC_2 DAKOTA_Mg_RC_3 DAKOTA_Mg_RC_4 DAKOTA_Mg_RC_5 DAKOTA_Mg_RC_6 DAKOTA_Mg_RC_7  DAKOTA_F_RC_1  DAKOTA_F_RC_2  DAKOTA_F_RC_3  DAKOTA_F_RC_4  DAKOTA_F_RC_5  DAKOTA_F_RC_6  DAKOTA_F_RC_7  DAKOTA_F_EP_1  DAKOTA_F_EP_2       obj_fn_1       obj_fn_2       obj_fn_3       obj_fn_4       obj_fn_5       obj_fn_6       obj_fn_7       obj_fn_8       obj_fn_9      obj_fn_10      obj_fn_11      obj_fn_12      obj_fn_13      obj_fn_14      obj_fn_15      obj_fn_16      obj_fn_17      obj_fn_18 
11           NO_ID    2.117621381    2.049134522    1.875583247    2.082382382    2.334865515    2.172796846    1.908121993     2.02196286    1.191459487    1.503137833    1.072516828   0.9942596691    1.543994945    1.594847889    1.852091153    1.560485728    9.976063561     2.83660558    2.025314595    1.772402805    1.837767026    1.677176331    1.849777382    1.784074989    1.753667656    1.367857372    1.365713006    1.204743212    1.278937762    1.267270318     1.48306207    1.420559144      3.2170242    1.413226584  0.00702352319 0.003243873324 0.007942327707 0.0004589321842 0.0008606576916 0.0003371512383 0.0002250314574  0.01976682592 0.001861177536 0.0006044422487 0.005802291953 0.004682484076  0.06214393824  0.00435110254  0.05865277778  0.08939433788  0.02285843044 0.005086766199 
12           NO_ID    2.118058274    1.922754879    1.932898359    1.970893079    2.288464997    2.062009607     1.95469791    1.995711418    1.488269627    1.640867428    1.049753335    1.060336823    1.503731321    1.602404061    1.787128887    1.686438432    11.05041401    2.879058086    1.999944074    1.739614821    1.785321144    1.754968348    1.719172466    1.755498068    1.700895219    1.393424909    1.254664907    1.195884016    1.389007251    1.299485012    1.480362689    1.531065525    3.746199459    1.686305236            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
13           NO_ID    2.118291194    1.996268838    1.874443359    2.061097697    2.201903604    2.130794889    2.016126562    1.980793766    1.268098934    1.604348384    1.049134548   0.9605263265    1.452681998    1.632205649    1.785500012    1.622583696    10.27193602    2.308351479    1.947524308    1.736910588    1.969145244    1.709779365    1.794131871    1.639496205     1.76395981    1.440194178    1.295273983    1.165334683    1.427948799    1.399158438    1.401106083    1.570239993    3.612136377    1.997747209            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
14           NO_ID    2.119010312    1.964638631    1.874193713    1.972863154    2.289686461    2.158651465    1.857505239    2.078916687    1.116095391    1.676105975    1.012394189   0.9225155979    1.500868023    1.600349724    1.859092884    1.674168184    10.01729906    2.284023719     2.07211301    1.877558142    1.791199956    1.839750971    1.751419125    1.737595746    1.762219581    1.429150715    1.265291255    1.068600893    1.277759891    1.254739509    1.351024472    1.420770203    3.731890702    1.746090928            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
15           NO_ID    2.119772482    2.025124014    1.805200799    2.002882324    2.234851235     2.09575749     1.96203098    2.036990156    1.289709473      1.6259914    1.081973274    0.936674417    1.475806405    1.649134356    1.734794327    1.638386903    11.21283392    2.396565898    1.985647591    1.847994762    1.949226185    1.739337933    1.773598337    1.747490991    1.860924214    1.389121536    1.304997511    1.169216946    1.387358152    1.334502532    1.336619112    1.531130634    3.433132729    1.329099559  0.00721081226 0.0005366684355 0.009288203849 0.0004927370406 8.492253612e-05 0.001133229361 0.0006004200833   0.0305873178 0.0006359047686 0.003090409875  0.01025947039 0.008729921442  0.04821562063  0.00372971618  0.04911111111  0.05502411478   0.0168111863 0.0008695442227 
16           NO_ID    2.122786641    1.955204499    1.870083256    2.059896311    2.261271297    2.008219771    1.849897022     1.94643818    0.926344926    1.551722413   0.9886305746    1.104764988     1.43888994    1.654053517    1.728273204    1.641562948    11.55650797    2.194976189    2.029195985    1.854546481    1.832039222    1.783976967    1.775108436    1.665453037    1.779361235    1.405149675    1.226974352    1.242865286    1.266624653    1.245628559    1.494951655    1.413411294    3.639165289    1.445174554            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
17           NO_ID    2.123985815     2.06621742    1.841440466    1.989798452    2.216476612     2.06273091    1.843293086    1.936941454   0.8836068274    1.560371416    1.058699898    0.932782117    1.554974053     1.70536893    1.713188113    1.589356055    10.79069833    2.151451565    2.037697867    1.711164914    1.949266496    1.686374362    1.862108794    1.722601117    1.736156939    1.306292667    1.246363013    1.070488958     1.35981423    1.226455788    1.403165307    1.507800045    4.098366042    1.843028865 0.006227020008 0.002049735315 0.006463940584 0.0002246782029 0.002607259803 0.001433308659 0.0005372110957  0.02616872678 0.002519900467 0.003977472544  0.01512228835  0.01349533621  0.04065110331 0.002626926407  0.01870833333  0.06559594988 0.005323637576 0.007916992116 
18           NO_ID    2.124664055    2.001470854    1.945073417    2.056714147    2.141653478    2.002249299    1.843893321    2.004374382    1.300299312    1.678391654   0.9901677697    1.035388588    1.591282783    1.600607783    1.786918114    1.579318263    11.77383842    2.912764992    2.022299314    1.800019921    1.892110425    1.824767883    1.756129161    1.792252111    1.734691399    1.297510228    1.180191792    1.159935588    1.387972312    1.313361658    1.480638494    1.536636366     4.20916256    1.748559554            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
19           NO_ID       2.125956    1.966197806    1.880720129    1.935976747    2.234546241    2.049234425    2.013647416    1.912881088     1.14234898    1.543449906    1.116940215    1.042024107    1.469217478    1.651236621    1.877216815    1.604174955     10.4524233    2.662106457    1.954174701    1.688114352    1.868105319    1.683114559    1.736967634    1.719479067    1.808166782     1.40851865    1.244299026    1.239045273    1.319883456    1.407261962    1.405465065    1.469839456    3.502298841     2.05092597            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
20           NO_ID    2.127241198    1.957658907    1.827955253    1.957721515     2.23714474    2.053594776    1.853927696    1.933551072    1.123076347    1.614465858    1.161380293   0.9920378518    1.571837336    1.624559702    1.769748548    1.600427483    10.37923852    2.467591986     1.97498434    1.710772818    1.843758327    1.657516997    1.819765279    1.809784158    1.857305195    1.404616429    1.346528013    1.249353256    1.415465403    1.292291659    1.516726907    1.566706601     3.88475283    1.343410798            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
21           NO_ID    2.128513007    2.021967595    1.855707296    1.963709216    2.228161697    2.128628783    2.016176775    1.949446014    1.696904982    1.534940359    1.175506448    1.062978879    1.543807845    1.591776565    1.873204673    1.663526601    10.24893091    1.928344968    1.951122976    1.868739295    1.881443032    1.646060508    1.873340656    1.723463689    1.810225754    1.293752488    1.363093812     1.05158616    1.342497104    1.419052682    1.369736216    1.495010112    3.840101384    1.747217561            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
22           NO_ID    2.130161285    2.040568446    1.956089044    2.077853168    2.236781917     2.06194454    1.993269119    1.943953884    1.831237548    1.499516571    1.129984608    1.082598305    1.476928157    1.727419818    1.718959748    1.680337536    10.02224946     2.73711123     2.02916941    1.702064879    1.848219044    1.798202659    1.716230757     1.77895186    1.709376803    1.434046614    1.290853808     1.16910655    1.284723408    1.353148779    1.514048471    1.438884693    3.603586123    1.970687571            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
23           NO_ID    2.130598497    1.948149821    1.995336683    1.942891583    2.248091274    1.994858048    1.946262998    2.064791172   0.9742008257    1.562237051    1.113160102   0.9708282778    1.574593107    1.581329935    1.785918591    1.580290974    10.34394849    2.341925435    2.051665336    1.876603643    1.939786204    1.820822275     1.76289631    1.677149217    1.878311232    1.413710539    1.216605005    1.127476539    1.333510584    1.242278214    1.322082312    1.488109081    3.587140172    2.207094974            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
24           NO_ID    2.130843797    2.003739746    1.807267427    2.059045148    2.272489789    2.172061155    1.866241443    2.074087722    1.480730186    1.674923467     1.04739201   0.9679520351    1.438920084    1.581099104    1.732725058    1.610093034    10.97483579    2.893865356    1.984933639    1.799925427    1.897134089    1.799517457    1.872205036    1.737965426    1.697163344    1.288043789    1.250201603    1.162454549    1.384824068    1.272708134    1.351187915    1.539667865    4.017239401    1.412276709            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
25           NO_ID    2.131625682    2.030407885    1.910961498    1.938296667     2.17287656    2.090638496    1.986340959     2.02460608   0.8700533044      1.4983764    1.049942379   0.9707235083    1.472873201    1.589797153    1.785358486    1.653741059    10.17387865    2.505653708    2.116274677    1.814589002    1.811637628    1.762726004    1.833318535    1.719335325    1.744743174    1.428531297    1.188250382    1.149970217    1.268172844     1.25590878    1.379682165    1.423798526    4.066583326    2.073218317 0.007933180477 0.003119909509 0.007245435971 0.0008554342252 0.002067765537 0.0009001233757 0.0001715926351   0.0213466618 0.002255374338 0.001393940146 0.008356021649 0.006924766089  0.04759124777 0.0004276106413  0.07259722222  0.08129251159 0.007297290569  0.01038320596 
26           NO_ID    2.133224035    2.051433113    1.997414711    1.974210957    2.265223892    2.153656568    1.901623554    1.978880452    1.345674757    1.677207392    1.002939996   0.9427083724    1.432724068    1.572958495    1.691247474    1.549831501    11.04758758     2.15823913    1.941164134    1.823404486    1.864810647    1.695997793    1.744469918    1.694901055    1.695422494    1.406834805      1.3657343    1.185201376    1.423425945    1.374736019    1.342140893    1.580649979    3.765845657    1.317778023            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
27           NO_ID    2.134958604    1.949704889    1.963270654    2.058656514    2.308416307     2.08372458    1.942523942    1.916169642    1.056307012    1.507255263    1.061573703    1.061190289    1.416693695    1.755715104    1.821801907    1.584637769    10.37229925    2.701615251    2.124606117    1.736502391    1.844621118    1.658501336      1.9099273    1.790286026    1.841385352    1.389934551    1.202771038    1.167748041    1.333000076     1.35801093    1.331009088     1.49195868    4.173579092    2.091398714 0.004779638628 0.002276059529  0.00797172333 0.0005560181397 0.002072502006 0.0009262163903 0.001627714527  0.01622897681 0.004212544085 0.0001632911032   0.0112430052  0.00983208848   0.1042410775 0.002408524216  0.03977777778  0.08107438347  0.01429541027 0.0009572820892 
28           NO_ID    2.135269036    1.910455658    1.906710211    1.928806653    2.166234762    2.012946033    1.958859556    1.940048371    1.019201758    1.511403341    1.088466357   0.9661693389    1.567447791    1.633993119    1.765932706    1.650020655    11.78710114    2.638029749     2.12552336    1.735577954    1.847565864    1.796982926    1.906993167    1.771838848     1.81507973     1.32180586     1.30026704    1.057257811    1.251945046    1.403012155    1.417058729    1.411214082    4.202339063    1.238844701            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
29           NO_ID    2.135685253    1.964058889    1.974551884    1.985017687    2.294529956    2.157801284    1.886658365    1.993500173    1.678617451    1.529911017    1.038238389   0.9995618094    1.571770774     1.69952368    1.728951342    1.575168353    10.58007433    2.196444232    2.103672964    1.794377403    1.883203593    1.820565729    1.748071855     1.66801084    1.789088979    1.402172893    1.321086221    1.053306119    1.368298108    1.348033508    1.355490212    1.527983361    4.195461985     1.27021048 0.004975281551  0.00493672057 0.005765642007 0.0005609190032 0.0003925645053 0.000955482914 0.0006328300826  0.02156091145 0.001338429682 0.004513053375 0.007219222133 0.005896194227  0.06802745171 0.005628357312  0.05883333333  0.07333579643  0.01292275745 0.004936610249 
30           NO_ID    2.135941526    2.090270355    1.819442162    2.013063518    2.275233215     2.08053406    1.959201351    1.905750043    1.709968645    1.564196295    1.043597932    1.056884882    1.547682023    1.630304289    1.809005998    1.540996618    11.44607094    2.899865117    2.003172949    1.774484475    1.912848013    1.789840605    1.722341847    1.769561018    1.781583818     1.29227961    1.349831337    1.110645887    1.324838753    1.399236177    1.419291204    1.484780279    4.082532657    1.813666834            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
31           NO_ID    2.137054488    1.981044757    1.868103194    2.017396786    2.264497885    2.114970999    1.864019862    1.980506121     1.70070379    1.623036725    1.184627607   0.9412124267    1.408198347    1.622281467    1.679381752    1.614724309    10.47518416    2.764699946    2.018215504    1.714398344    1.939026647    1.800696403    1.728391455    1.738619866    1.702385193    1.372231104    1.199584246    1.204151524    1.354055888    1.415901077    1.406884123    1.515110376    3.619729168    1.994936589            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
32           NO_ID    2.137180046    1.965005806    1.806421764    2.033652771    2.222902089     2.14289767    1.821877573    2.031818909    1.062184481    1.501377813    1.105334218    1.069005305    1.543136416    1.744441185    1.708041745    1.595233112    9.958456701    2.814066281    2.021925713    1.687792719    1.958731993    1.671272948    1.716196413    1.690865767    1.782043757    1.310177487    1.177717154    1.187953113    1.425616232    1.345037099    1.323356341    1.386796278    4.185214527    1.268890527 0.004710443903 0.002526074376 0.005364229509 0.0002211187218 0.001234350857 7.730847492e-05 0.001953660228  0.01509362749 0.003842811692 0.005560789673  0.01279788781  0.01124262883   0.1078912573 0.006177536445  0.02673611111  0.04559132979 0.003379609006 0.005591278147 
33           NO_ID    2.138556107    2.055140305    1.824885906    2.082126537     2.21650122    2.048814586     1.93246774    2.015385815    1.544473038    1.598977297    1.046377844   0.9886634758    1.499159818    1.659747275    1.806835937    1.549908067    11.54088561    1.951096189    2.039745295     1.86880274     1.80128876    1.817888642    1.842715028     1.81559179    1.751522201    1.267610676    1.296987217    1.224197856    1.383507371    1.244004997    1.376716892    1.546063478    4.130726513    1.628013989            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
34           NO_ID     2.14075286    2.084502167    1.863144936    1.972372726    2.192457197    2.158119818    1.916089965    1.902184084    1.182883265    1.607820867    1.031474818    1.086030205    1.487359728    1.722955644    1.775382881    1.667540333    11.74113241    2.113699393    1.968674479     1.80718458    1.960334814    1.688907712    1.829047482    1.814725929     1.79732054       1.393205    1.230992825    1.121693732    1.411654599    1.271228552    1.518122779     1.57640746    3.413653592    1.526338571 0.006513678405 0.0006568405382 0.009053918267 0.0003147606558 0.002664634678 0.001390566014 0.002833826844  0.02180640821 0.002892854926  0.00141274995 0.005185951042 0.004242903894  0.08140343948 0.004740472308  0.06404166667  0.09270165481 0.001166783978  0.00712823799 
35           NO_ID    2.141415956    1.908601352    1.943024328    1.924063985    2.233693971    2.122599376       1.954015     2.01827551    1.568582374    1.644392818    1.103432339    1.052674354    1.547672608    1.573052788    1.682862423    1.689455857    10.34517751    2.778514464     2.10698924    1.845075415    1.917868707    1.788366709    1.799783948    1.705842985    1.757883338    1.424795013    1.177007026    1.109300863    1.276007866     1.36703231    1.384904846    1.441423821    4.013168306    1.259645867            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
36           NO_ID    2.141816344    2.042880073    1.985825092    1.921526617    2.140826112    2.024512272    1.967220424    1.883315054    1.490854733    1.480646368    1.136166603    1.101837612    1.585030116    1.623191053    1.744219337     1.64049148    10.58534416    2.847873303    1.942542836    1.681810488    1.909494872    1.732240625    1.870074508    1.669570586    1.726619955    1.427529348    1.375225325    1.163932976    1.369575092    1.359323311    1.439003438    1.535391436    3.646016921    1.744142651            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
37           NO_ID    2.144629423    1.937446128    1.849951034    2.058652093    2.156922506    2.078315585    1.957507334    2.053999857    1.741686076    1.607937539    1.098011535    1.104115448    1.465043593    1.689971272    1.758873475    1.591702156    10.08366494    2.298339279     1.98473921    1.782898755    1.804020297    1.701439405    1.718710826    1.777085557    1.745281845    1.269904003    1.208946209    1.206900444    1.317076571    1.423962172    1.508177895    1.485705994    3.442041501    1.410644644            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
38           NO_ID    2.144870982    1.981657704    1.871619336    1.907820086    2.271359295    2.038262579    1.962972329    2.081080143    1.280954716    1.495520728    1.062689816   0.9488933979    1.572799182    1.634696267    1.747296585    1.682964637    10.43944353    2.116407411    1.949640756    1.826211031    1.887876626     1.75520007     1.85864151    1.752857418    1.704856801      1.2925618    1.285487813    1.051483194    1.385664469    1.303059147    1.329784326    1.554535451    4.058584256    1.627018306            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
39           NO_ID    2.145686414    2.056431658    1.853354436    2.036893243    2.312755223    1.999883103    1.868565857    1.937884264    1.424605903    1.675751962    1.144021381   0.9366753374    1.573768756    1.574637001    1.800477233    1.640559273    11.29165658    2.480132111    1.970470486     1.68195504    1.889335352    1.788929085    1.828592614    1.735293264    1.746354148    1.315610055    1.368764312    1.171075116    1.439824101    1.290126877     1.45429152    1.409510515    3.367792675    2.158229779            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
40           NO_ID    2.146001047    2.045622353     1.97584338    2.001659412    2.202122526     2.13436687    1.974570429    1.998360915    1.005643399    1.607341204    1.040884595   0.9928800219    1.405509557    1.687992028    1.816968868    1.677182521    10.24269431    2.166862304    2.082748249    1.752441286    1.850183301    1.704837228    1.734614179    1.662269522    1.745143347    1.393912288     1.32330303    1.146633559    1.333895648    1.368395427    1.426675655    1.503896695    3.705088899    1.632595177            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
41           NO_ID    2.146819654     1.96390811    1.802711345    2.015491838    2.275400069    2.083779074    1.915283342    2.046312182    1.430596903    1.483573277     1.09583849    1.055557403    1.448600262     1.75269691    1.859708557    1.639726075    10.58947882    1.942491946    2.077375825    1.877859541    1.848458226    1.751203033    1.781980779    1.658950953     1.73101714    1.414347448    1.176232399     1.10642934    1.349013336    1.242940452    1.337642419    1.519832991    3.669242812     1.32176882 0.004322841066 0.002218767571  0.01276982702 0.0007662655839 0.000619685312  0.00185285599 0.001870622253  0.01516440303 0.001395625016 0.003222796388   0.0102394187 0.008845069473   0.1117335518 0.007396625608  0.05498611111  0.06382655083  0.01831283536 0.002754743533 
42           NO_ID    2.148102874    2.025623522     1.82925215    1.960400081    2.228864223    2.011823749    1.970179699    1.931338838    1.080985956    1.588939672    1.024163953   0.9759325484    1.530983534    1.706542902    1.727771495    1.626732136    11.36262608    2.748039952    2.060957804    1.846172901     1.78351506    1.821077617    1.815418912    1.685773599    1.796589992     1.36973271    1.207964887    1.052646433    1.274087947    1.364955503    1.404681542    1.446190821    3.587895124    1.789668457            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
43           NO_ID    2.148896946    1.902755501    1.934745716    2.007993028    2.278936689    2.019661757    1.852765866    1.968978628   0.9379235702    1.490669624    1.128309599    1.088923318    1.561729717    1.734450453    1.802178161    1.598921256    10.64546041    2.585125702    2.022644678    1.869892613    1.886583338      1.7310435    1.829365659    1.814384607    1.740521964    1.442318447    1.249394562    1.143892945    1.377470137    1.257497111    1.393792454    1.550367083     3.43626306     1.26269085            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
44           NO_ID     2.14973786    2.069499142    1.820082054    1.912006979    2.176453025    2.009129563     1.85452355    2.064437633    1.794639342    1.592451706    1.134857451   0.9406876165    1.495789242    1.726182397    1.872909863    1.692958652    11.70147276     2.27164453    2.076161311    1.866478033    1.782080766    1.818538114    1.880524647    1.763934574    1.774644664    1.256248054    1.230083353    1.134693135    1.307132747    1.356800577    1.354830649    1.480870607    3.766498595    1.494563514            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100            100 
45           NO_ID    2.150103075    2.010438369    1.867819634    1.950386651    2.165085065    2.160253726    2.000773985    1.950623177     1.23600023    1.492445677     1.11184861   0.9101456794    1.571665948    1.681908116    1.839018767    1.603813069    10.27415283    2.805797162      2.0650813     1.68998946    1.820778257    1.680025574      1.8376672    1.759754581    1.829688963    1.409834517    1.343831343    1.165096907    1.347574889    1.308460814    1.424438639    1.521677964    3.229495911    2.081291366 0.006631775415 0.002385946217 0.007664907858 0.0004401565372 0.001654817936 0.0003599563918  0.00390475055   0.0183903166 0.001121093861 0.0001515711801 0.006245019998 0.005325392518  0.05198587212 0.001411642782  0.06352777778  0.07694357813 0.007768917242 0.007338911801 
